,序号,出现频率最高的地址,最高重复次数,各数据出现次数
1616,1617,北京市朝阳区东环北路23号,3,"{'北京市朝阳区东环北路23号': 3, '北京市朝阳区呼家楼街道办事处呼家楼北社区居委会向军南里呼家楼邮局东侧路': 2}"
1617,1618,北京市朝阳区柳芳南里12号,3,"{'北京市朝阳区柳芳南里12号': 3, '北京市朝阳区劲松街道办事处百环社区居委会东三环南路边': 2}"
1618,1619,北京市朝阳区西坝河东里83号楼一层,3,{'北京市朝阳区西坝河东里83号楼一层': 3}
1619,1620,北京市朝阳区西坝河中里21号,2,"{'北京市朝阳区西坝河中里21号': 2, '北京市朝阳区西坝河中里21号朝阳区西坝河中里21号': 1}"
1620,1621,北京市朝阳区西坝河西里23号8号平房,3,{'北京市朝阳区西坝河西里23号8号平房': 3}
1621,1622,朝阳区青年路48号院内平房朝阳区青年路48号院内平房,1,"{'朝阳区青年路48号院内平房朝阳区青年路48号院内平房': 1, '北京市朝阳区青年路48号院内平房': 1}"
1622,1623,北京市朝阳区西坝河南路甲1号B605,2,"{'北京市朝阳区西坝河南路甲1号B605': 2, '北京市朝阳区西坝河南路甲1号B605朝阳区西坝河南路甲1号B605': 1}"
1623,1624,北京市朝阳区西坝河东里底商7号,2,"{'北京市朝阳区西坝河东里底商7号': 2, '北京市朝阳区西坝河东里底商7号朝阳区西坝河东里底商7号': 1}"
1624,1625,北京市朝阳区柳芳北里二号楼前,3,{'北京市朝阳区柳芳北里二号楼前': 3}
1625,1626,北京市朝阳区北三环东路8号静安中心2层0272房间,1,"{'北京市朝阳区北三环东路8号静安中心2层0272房间': 1, '北京市通州区张家湾镇通州工业开发区光华路16号A栋A223': 1}"
1626,1627,北京市通州区光机电一体化产业基地,3,"{'北京市通州区光机电一体化产业基地': 3, '北京市朝阳区西坝河南路3号浩鸿园雅园3A': 1, '北京市朝阳区西坝河南路浩鸿雅园3A': 1}"
1627,1628,北京市平谷区平谷镇府前西街28号(平谷镇人民政府院内),1,"{'北京市平谷区平谷镇府前西街28号(平谷镇人民政府院内)': 1, '北京市平谷区平谷镇府前西街２８号（平谷镇人民政府院内）朝阳区西坝河南里３号楼国都３１８': 1, '北京市朝阳区曙光西里甲6号3号楼13层1605': 1, '北京市平谷区平谷镇府前西街28号（平谷镇人民政府院内）': 1}"
1628,1629,北京市朝阳区西坝河东里(,2,"{'北京市朝阳区西坝河东里(': 2, '北京市第一市政工程公司厂区)': 2}"
1629,1630,北京市朝阳区西坝河中里6号楼一层03号,2,{'北京市朝阳区西坝河中里6号楼一层03号': 2}
1630,1631,北京市门头沟体北路11号,1,{'北京市门头沟体北路11号': 1}
1631,1632,北京市朝阳区柳芳北里2号楼北侧平房,1,{'北京市朝阳区柳芳北里2号楼北侧平房': 1}
1632,1633,北京市朝阳区西坝河东里19号北2门,1,{'北京市朝阳区西坝河东里19号北2门': 1}
1633,1634,北京市朝阳区西坝河中里21号二层1号,2,"{'北京市朝阳区西坝河中里21号二层1号': 2, '北京市朝阳区西坝河中里２１号二层１号': 1}"
1634,1635,北京市朝阳区西坝河南里17号楼-17,1,{'北京市朝阳区西坝河南里17号楼-17': 1}
1635,1636,北京市朝阳区西坝河南里17号楼17-15-西1-005,1,{'北京市朝阳区西坝河南里17号楼17-15-西1-005': 1}
1636,1637,北京市朝阳区金岛花园兰苑1d,1,{'北京市朝阳区金岛花园兰苑1d': 1}
1637,1638,北京市朝阳区西坝河南路甲1号,1,{'北京市朝阳区西坝河南路甲1号': 1}
1638,1639,北京市朝阳区西坝河西里26号楼地下一层,3,"{'北京市朝阳区西坝河西里26号楼地下一层': 3, '北京市朝阳区西坝河西里２６号楼地下一层': 1}"
1639,1640,北京市朝阳区西坝河南里29号,1,{'北京市朝阳区西坝河南里29号': 1}
1640,1641,北京市朝阳区西坝河东里19号南1门,1,{'北京市朝阳区西坝河东里19号南1门': 1}
1641,1642,北京市朝阳区西坝河南路3号C座(住宅楼)4-505号,1,{'北京市朝阳区西坝河南路3号C座(住宅楼)4-505号': 1}
1642,1643,北京市朝阳区柳芳北街6号,1,{'北京市朝阳区柳芳北街6号': 1}
1643,1644,北京市朝阳区西坝河南路甲2号,1,{'北京市朝阳区西坝河南路甲2号': 1}
1644,1645,北京市朝阳区西坝河东里55号楼1-403,1,{'北京市朝阳区西坝河东里55号楼1-403': 1}
1645,1646,北京市朝阳区望京南湖渠东郊苗圃西侧(第一输配厂北郊站),1,{'北京市朝阳区望京南湖渠东郊苗圃西侧(第一输配厂北郊站)': 1}
1646,1647,北京市朝阳区光华路4号院3号楼13层1612室,2,{'北京市朝阳区光华路4号院3号楼13层1612室': 2}
1647,1648,北京市朝阳区西坝河南路1号4号楼25层2505室,1,{'北京市朝阳区西坝河南路1号4号楼25层2505室': 1}
1648,1649,北京市朝阳区北三环东路８号,1,{'北京市朝阳区北三环东路８号': 1}
1649,1650,北京市朝阳区东环北路23号,1,{'北京市朝阳区东环北路23号': 1}
1650,1651,北京市朝阳区西坝河北里16号楼509室,1,{'北京市朝阳区西坝河北里16号楼509室': 1}
1651,1652,北京市朝阳区西坝河东里83号楼一层,1,{'北京市朝阳区西坝河东里83号楼一层': 1}
1652,1653,北京市朝阳区西坝河东里97楼,1,{'北京市朝阳区西坝河东里97楼': 1}
1653,1654,北京市朝阳区西坝河东里底商7号,1,{'北京市朝阳区西坝河东里底商7号': 1}
1654,1655,北京市朝阳区西坝河南里２９号,1,{'北京市朝阳区西坝河南里２９号': 1}
1655,1656,北京市朝阳区西坝河南路甲1号B605,1,{'北京市朝阳区西坝河南路甲1号B605': 1}
1656,1657,北京市朝阳区西坝河太阳宫乡政府对面奥士凯配送中心院内,1,{'北京市朝阳区西坝河太阳宫乡政府对面奥士凯配送中心院内': 1}
1657,1658,北京市朝阳区西坝河西里23号8号平房,1,{'北京市朝阳区西坝河西里23号8号平房': 1}
1658,1659,北京市朝阳区西坝河西里26号楼地下一层,1,{'北京市朝阳区西坝河西里26号楼地下一层': 1}
1659,1660,北京市朝阳区西坝河中里21号,1,{'北京市朝阳区西坝河中里21号': 1}
1660,1661,北京市朝阳区西坝河中里21号二层1号,1,{'北京市朝阳区西坝河中里21号二层1号': 1}
1661,1662,北京市朝阳区柳芳北里二号楼前,1,{'北京市朝阳区柳芳北里二号楼前': 1}
1662,1663,北京市朝阳区柳芳北街6号,1,{'北京市朝阳区柳芳北街6号': 1}
1663,1664,北京市朝阳区西坝河南路甲2号,1,{'北京市朝阳区西坝河南路甲2号': 1}
1664,1665,北京市朝阳区西坝河东里55号楼1-403,1,{'北京市朝阳区西坝河东里55号楼1-403': 1}
1665,1666,北京市朝阳区西坝河南路1号4号楼25层2505室,1,{'北京市朝阳区西坝河南路1号4号楼25层2505室': 1}
1666,1667,北京市朝阳区西坝河南里２１号楼,1,"{'北京市朝阳区西坝河南里２１号楼': 1, '北京世纪奥城宾馆２１５室': 1}"
1667,1668,北京市朝阳区柳芳北里甲12号(,1,"{'北京市朝阳区柳芳北里甲12号(': 1, '北京亚星香园农副产品综合市场)': 1}"
1668,1669,北京市朝阳区柳芳北里甲12号(,1,"{'北京市朝阳区柳芳北里甲12号(': 1, '北京亚星香园农副产品综合市场)': 1}"
1669,1670,北京市朝阳区柳芳北里2号楼北侧平房,1,{'北京市朝阳区柳芳北里2号楼北侧平房': 1}
1670,1671,北京市朝阳区新东路1号,1,{'北京市朝阳区新东路1号': 1}
1671,1672,北京市朝阳区东湖街道办事处望京花园社区居委会利泽中二路望京工业区4号地,1,"{'北京市朝阳区东湖街道办事处望京花园社区居委会利泽中二路望京工业区4号地': 1, '北京市朝阳区望京北路望京工业区4号地': 1, '北京市朝阳区望京利泽中园202号': 1}"
1672,1673,北京市朝阳区望京街道办事处坝北居委会京密路京顺路与四环路旁边,1,"{'北京市朝阳区望京街道办事处坝北居委会京密路京顺路与四环路旁边': 1, '北京市朝阳区京密路京顺路与四环路旁边': 1}"
1673,1674,北京市朝阳区望京街道办事处方舟苑社区居委会北四环东路辅路,1,"{'北京市朝阳区望京街道办事处方舟苑社区居委会北四环东路辅路': 1, '北京市朝阳区北四环东路北四环东路辅路': 1}"
1674,1675,北京市朝阳区望京街道办事处花家地南里社区居委会花家地街花家地南里西门旁,1,"{'北京市朝阳区望京街道办事处花家地南里社区居委会花家地街花家地南里西门旁': 1, '北京市朝阳区花家地南街花家地南里西门旁': 1}"
1675,1676,北京市朝阳区望京南湖渠东郊苗圃西侧(第一输配厂北郊站),1,{'北京市朝阳区望京南湖渠东郊苗圃西侧(第一输配厂北郊站)': 1}
1676,1677,北京市朝阳区阜通东大街6号院5号楼6层705,1,{'北京市朝阳区阜通东大街6号院5号楼6层705': 1}
1677,1678,北京市朝阳区北四环东路３９号,1,{'北京市朝阳区北四环东路３９号': 1}
1678,1679,北京市朝阳区北四环东路甲３９号,1,{'北京市朝阳区北四环东路甲３９号': 1}
1679,1680,北京市朝阳区阜荣街8号院3号楼10层2单元1105,1,{'北京市朝阳区阜荣街8号院3号楼10层2单元1105': 1}
1680,1681,北京市朝阳区阜通东大街6号院3号楼8层915,1,{'北京市朝阳区阜通东大街6号院3号楼8层915': 1}
1681,1682,北京市朝阳区阜通东大街6号院4号楼1层83至86号,1,{'北京市朝阳区阜通东大街6号院4号楼1层83至86号': 1}
1682,1683,北京市朝阳区阜通东大街6号院4号楼一层东北角第三间,1,{'北京市朝阳区阜通东大街6号院4号楼一层东北角第三间': 1}
1683,1684,北京市朝阳区广顺北大街16号院2号楼10层1002、1003、1005、1006,1,{'北京市朝阳区广顺北大街16号院2号楼10层1002、1003、1005、1006': 1}
1684,1685,北京市朝阳区广顺北大街16号院3号楼一层102内A172号,1,{'北京市朝阳区广顺北大街16号院3号楼一层102内A172号': 1}
1685,1686,北京市朝阳区广顺北大街１７号２层０２层Ａ１０西侧,1,{'北京市朝阳区广顺北大街１７号２层０２层Ａ１０西侧': 1}
1686,1687,北京市朝阳区广顺北大街17号一层B08号商铺,1,{'北京市朝阳区广顺北大街17号一层B08号商铺': 1}
1687,1688,北京市朝阳区广顺南大街16号院2号楼17层1902,1,{'北京市朝阳区广顺南大街16号院2号楼17层1902': 1}
1688,1689,北京市朝阳区广顺南大街16号院2号楼7层702,1,{'北京市朝阳区广顺南大街16号院2号楼7层702': 1}
1689,1690,北京市朝阳区广顺南大街1号2号楼506室,1,{'北京市朝阳区广顺南大街1号2号楼506室': 1}
1690,1691,北京市朝阳区广顺南大街嘉润花园19号A座2706室,1,{'北京市朝阳区广顺南大街嘉润花园19号A座2706室': 1}
1691,1692,北京市朝阳区湖光北街９号旺角广场首层Ｆ１号,1,{'北京市朝阳区湖光北街９号旺角广场首层Ｆ１号': 1}
1692,1693,北京市朝阳区花家地1号楼01层101内05,1,{'北京市朝阳区花家地1号楼01层101内05': 1}
1693,1694,北京市朝阳区花家地1号楼1至2层103(一层部分),1,{'北京市朝阳区花家地1号楼1至2层103(一层部分)': 1}
1694,1695,北京市朝阳区花家地甲１号,1,{'北京市朝阳区花家地甲１号': 1}
1695,1696,北京市朝阳区京顺路111号1幢101号内F1-24,1,{'北京市朝阳区京顺路111号1幢101号内F1-24': 1}
1696,1697,北京市朝阳区利泽西园１０２号楼（住宅楼）,1,{'北京市朝阳区利泽西园１０２号楼（住宅楼）': 1}
1697,1698,北京市朝阳区利泽西园102号楼一层北侧,1,{'北京市朝阳区利泽西园102号楼一层北侧': 1}
1698,1699,北京市朝阳区利泽中一路１号８层公寓８０５,1,{'北京市朝阳区利泽中一路１号８层公寓８０５': 1}
1699,1700,北京市朝阳区利泽中一路1号公寓325,1,{'北京市朝阳区利泽中一路1号公寓325': 1}
1700,1701,北京市朝阳区利泽中园208号2幢4层4401/4404室,1,{'北京市朝阳区利泽中园208号2幢4层4401/4404室': 1}
1701,1702,北京市朝阳区南湖西园２１６号楼１层３８（部分）,1,{'北京市朝阳区南湖西园２１６号楼１层３８（部分）': 1}
1702,1703,北京市朝阳区南湖中园211号楼211-1-1,1,{'北京市朝阳区南湖中园211号楼211-1-1': 1}
1703,1704,北京市朝阳区望京北路16号四层,1,{'北京市朝阳区望京北路16号四层': 1}
1704,1705,北京市朝阳区望京北路18号809室,1,{'北京市朝阳区望京北路18号809室': 1}
1705,1706,北京市朝阳区望京北路9号,1,{'北京市朝阳区望京北路9号': 1}
1706,1707,北京市朝阳区望京广顺北大街16号家乐福望京店208号,1,{'北京市朝阳区望京广顺北大街16号家乐福望京店208号': 1}
1707,1708,北京市朝阳区望京湖光中街1号805号,1,{'北京市朝阳区望京湖光中街1号805号': 1}
1708,1709,北京市朝阳区望京湖光中街２号院１－１３０１室,1,{'北京市朝阳区望京湖光中街２号院１－１３０１室': 1}
1709,1710,北京市朝阳区望京湖光中街8号,1,{'北京市朝阳区望京湖光中街8号': 1}
1710,1711,北京市朝阳区望京湖光中街一号鹏景阁大厦１３０２室,1,{'北京市朝阳区望京湖光中街一号鹏景阁大厦１３０２室': 1}
1711,1712,北京市朝阳区望京花园130号楼中段第一层部分,1,{'北京市朝阳区望京花园130号楼中段第一层部分': 1}
1712,1713,北京市朝阳区望京开发区利泽中园2区220号楼4层,1,{'北京市朝阳区望京开发区利泽中园2区220号楼4层': 1}
1713,1714,北京市朝阳区望京利泽东二路1号,1,{'北京市朝阳区望京利泽东二路1号': 1}
1714,1715,北京市朝阳区望京利泽中园二区203号,1,{'北京市朝阳区望京利泽中园二区203号': 1}
1715,1716,北京市朝阳区望京路4号8号楼,1,{'北京市朝阳区望京路4号8号楼': 1}
1716,1717,北京市朝阳区望京南湖东园201楼,1,{'北京市朝阳区望京南湖东园201楼': 1}
1717,1718,北京市朝阳区望京南湖西路望承公园北门220号2号楼一层1号,1,{'北京市朝阳区望京南湖西路望承公园北门220号2号楼一层1号': 1}
1718,1719,北京市朝阳区望京南湖中园东门外南侧平房,1,{'北京市朝阳区望京南湖中园东门外南侧平房': 1}
1719,1720,北京市朝阳区望京西园１０３号楼一层,1,{'北京市朝阳区望京西园１０３号楼一层': 1}
1720,1721,北京市朝阳区望京西园222号(住宅)D-1603室,1,{'北京市朝阳区望京西园222号(住宅)D-1603室': 1}
1721,1722,北京市朝阳区望京西园222号D座0908室,1,{'北京市朝阳区望京西园222号D座0908室': 1}
1722,1723,北京市朝阳区望京西园423号楼一层部分,1,{'北京市朝阳区望京西园423号楼一层部分': 1}
1723,1724,北京市朝阳区望京西园４２９号楼１７层１单元２００１室,1,{'北京市朝阳区望京西园４２９号楼１７层１单元２００１室': 1}
1724,1725,北京市朝阳区望京西园三区315-316号楼1层A内112,1,{'北京市朝阳区望京西园三区315-316号楼1层A内112': 1}
1725,1726,北京市朝阳区望京西园四区401号楼203室,1,{'北京市朝阳区望京西园四区401号楼203室': 1}
1726,1727,北京市朝阳区望京新城B11-1地块B区望京新城B11-121层D单元2523,1,{'北京市朝阳区望京新城B11-1地块B区望京新城B11-121层D单元2523': 1}
1727,1728,北京市朝阳区望京园401号楼5层0616,1,{'北京市朝阳区望京园401号楼5层0616': 1}
1728,1729,北京市朝阳区望京园602号楼1层117,1,{'北京市朝阳区望京园602号楼1层117': 1}
1729,1730,北京市朝阳区望京园608号楼1层156,1,{'北京市朝阳区望京园608号楼1层156': 1}
1730,1731,北京市朝阳区望京园６１０号楼１层１０９室,1,{'北京市朝阳区望京园６１０号楼１层１０９室': 1}
1731,1732,北京市朝阳区望京中环南路甲2号佳境天城国际商务公寓B座1902室,1,{'北京市朝阳区望京中环南路甲2号佳境天城国际商务公寓B座1902室': 1}
1732,1733,北京市朝阳区中关村电子城西区E7地块锐创国际中心18层1281号,1,{'北京市朝阳区中关村电子城西区E7地块锐创国际中心18层1281号': 1}
1733,1734,北京市朝阳区望京利泽中园101号,1,{'北京市朝阳区望京利泽中园101号': 1}
1734,1735,北京市朝阳区南湖东园106号楼1405室,1,{'北京市朝阳区南湖东园106号楼1405室': 1}
1735,1736,北京市朝阳区利泽中二路2号望京科技创业园B座5层,1,{'北京市朝阳区利泽中二路2号望京科技创业园B座5层': 1}
1736,1737,北京市朝阳区望京园602号楼25层2926、2927,1,{'北京市朝阳区望京园602号楼25层2926、2927': 1}
1737,1738,北京市朝阳区金兴路10号楼2单元201号,1,{'北京市朝阳区金兴路10号楼2单元201号': 1}
1738,1739,北京市朝阳区阜通东大街6号院1号楼13层1608,1,{'北京市朝阳区阜通东大街6号院1号楼13层1608': 1}
1739,1740,北京市朝阳区阜通西大街12号楼8层806,1,{'北京市朝阳区阜通西大街12号楼8层806': 1}
1740,1741,北京市朝阳区花家地金兴路1号院1号(住宅)楼7单元5层502室,1,{'北京市朝阳区花家地金兴路1号院1号(住宅)楼7单元5层502室': 1}
1741,1742,北京市朝阳区利泽中一路1号办公A801,1,{'北京市朝阳区利泽中一路1号办公A801': 1}
1742,1743,北京市朝阳区望京北路18号813室,1,{'北京市朝阳区望京北路18号813室': 1}
1743,1744,北京市朝阳区望京利泽中园二区203号1912,1,{'北京市朝阳区望京利泽中园二区203号1912': 1}
1744,1745,北京市朝阳区望京东路8号院2号楼1921,1,{'北京市朝阳区望京东路8号院2号楼1921': 1}
1745,1746,北京市朝阳区广顺南大街8号院1号楼2层A01、C01单元,1,{'北京市朝阳区广顺南大街8号院1号楼2层A01、C01单元': 1}
1746,1747,北京市朝阳区广顺南大街嘉润花园19号B号楼2303号,1,{'北京市朝阳区广顺南大街嘉润花园19号B号楼2303号': 1}
1747,1748,北京市朝阳区利泽东街5号爱立信大厦1-6A,1,{'北京市朝阳区利泽东街5号爱立信大厦1-6A': 1}
1748,1749,北京市朝阳区利泽中二路2号B座3层,1,{'北京市朝阳区利泽中二路2号B座3层': 1}
1749,1750,北京市朝阳区望京园401号楼31层3606室,1,{'北京市朝阳区望京园401号楼31层3606室': 1}
1750,1751,北京市朝阳区望京西园221号16层,1,{'北京市朝阳区望京西园221号16层': 1}
1751,1752,北京市朝阳区花家地西里209号楼4单元601号,1,{'北京市朝阳区花家地西里209号楼4单元601号': 1}
1752,1753,北京市朝阳区望京东园515号楼1至2层06,1,{'北京市朝阳区望京东园515号楼1至2层06': 1}
1753,1754,北京市朝阳区望京中环南路甲2号2503,1,{'北京市朝阳区望京中环南路甲2号2503': 1}
1754,1755,北京市朝阳区望京西园二区京电底商综合楼1(2-011)室,1,{'北京市朝阳区望京西园二区京电底商综合楼1(2-011)室': 1}
1755,1756,北京市朝阳区望京东园七区18号楼201,1,{'北京市朝阳区望京东园七区18号楼201': 1}
1756,1757,北京市朝阳区望京东园七区18号楼201-1,1,{'北京市朝阳区望京东园七区18号楼201-1': 1}
1757,1758,北京市朝阳区望京保利国际广场项目17号楼5层504-2,1,{'北京市朝阳区望京保利国际广场项目17号楼5层504-2': 1}
1758,1759,北京市朝阳区阜通东大街6号院5号楼18层2117,1,{'北京市朝阳区阜通东大街6号院5号楼18层2117': 1}
1759,1760,北京市朝阳区阜安西路11号楼1层125、127室,1,{'北京市朝阳区阜安西路11号楼1层125、127室': 1}
1760,1761,北京市朝阳区望京南湖西园216号楼2层50号,1,{'北京市朝阳区望京南湖西园216号楼2层50号': 1}
1761,1762,北京市朝阳区望京园610号楼2层205,1,{'北京市朝阳区望京园610号楼2层205': 1}
1762,1763,北京市朝阳区南湖东园122楼2层S-07-4,1,{'北京市朝阳区南湖东园122楼2层S-07-4': 1}
1763,1764,北京市朝阳区利泽中一路1号12层办公A1205,1,{'北京市朝阳区利泽中一路1号12层办公A1205': 1}
1764,1765,北京市朝阳区望京西路50号院2号楼一单元302号,1,{'北京市朝阳区望京西路50号院2号楼一单元302号': 1}
1765,1766,北京市朝阳区利泽中一路1号办公A12A03B,1,{'北京市朝阳区利泽中一路1号办公A12A03B': 1}
1766,1767,北京市朝阳区望京北路9号2号楼D座388室,1,{'北京市朝阳区望京北路9号2号楼D座388室': 1}
1767,1768,北京市朝阳区望京西园２２２号星源国际公寓Ｂ－２３Ａ０２,1,{'北京市朝阳区望京西园２２２号星源国际公寓Ｂ－２３Ａ０２': 1}
1768,1769,北京市朝阳区望京西园２２２楼Ｂ－２９０２,1,{'北京市朝阳区望京西园２２２楼Ｂ－２９０２': 1}
1769,1770,北京市朝阳区望京西园二区221号,1,{'北京市朝阳区望京西园二区221号': 1}
1770,1771,北京市朝阳区望京园602号楼9层1026,1,{'北京市朝阳区望京园602号楼9层1026': 1}
1771,1772,北京市朝阳区望京西园四区407楼,1,{'北京市朝阳区望京西园四区407楼': 1}
1772,1773,北京市朝阳区五里桥二街1号院8号楼1层0118号,1,{'北京市朝阳区五里桥二街1号院8号楼1层0118号': 1}
1773,1774,北京市朝阳区西八间房万红西街2号燕东大厦A-2022,1,{'北京市朝阳区西八间房万红西街2号燕东大厦A-2022': 1}
1774,1775,北京市朝阳区望京北路9号,2,"{'北京市朝阳区望京北路9号': 2, '北京市朝阳区东湖街道办事处果岭里社区居委会来广营中路中关村科技园区电子城西区A10-2地块2号科研楼': 2}"
1775,1776,北京市朝阳区广顺南大街8号院1号楼2层A01、C01单元,3,"{'北京市朝阳区广顺南大街8号院1号楼2层A01、C01单元': 3, '3层A01、C01、D01单元': 3, '北京市朝阳区建国路112号': 1}"
1776,1777,北京市朝阳区望京街8号院2号楼卡特彼勒大厦1601室,2,{'北京市朝阳区望京街8号院2号楼卡特彼勒大厦1601室': 2}
1777,1778,北京市朝阳区望京路4号8号楼,4,{'北京市朝阳区望京路4号8号楼': 4}
1778,1779,北京市朝阳区利泽东街5号爱立信大厦1-6A,3,{'北京市朝阳区利泽东街5号爱立信大厦1-6A': 3}
1779,1780,北京市朝阳区望京园608号楼1层156,4,"{'北京市朝阳区望京园608号楼1层156': 4, '北京市朝阳区望京园605号楼1层137（西侧）': 1}"
1780,1781,北京市朝阳区阜通东大街6号院4号楼1层83至86号,3,"{'北京市朝阳区阜通东大街6号院4号楼1层83至86号': 3, '北京市朝阳区阜通东大街６号院４号楼１层２６、２７号': 1}"
1781,1782,北京市朝阳区南湖中园211号楼211-1-1,3,{'北京市朝阳区南湖中园211号楼211-1-1': 3}
1782,1783,北京市朝阳区望京北路18号813室,3,"{'北京市朝阳区望京北路18号813室': 3, '北京市朝阳望京北路18号': 1}"
1783,1784,北京市朝阳区望京湖光中街1号805号,3,{'北京市朝阳区望京湖光中街1号805号': 3}
1784,1785,北京市朝阳区望京湖光中街8号湖光中街8号朝阳区望京湖光中街8号,1,"{'北京市朝阳区望京湖光中街8号湖光中街8号朝阳区望京湖光中街8号': 1, '北京市朝阳区望京湖光中街8号': 1}"
1785,1786,北京市朝阳区呼家楼南里30号楼,3,"{'北京市朝阳区呼家楼南里30号楼': 3, '北京市朝阳区呼家楼南里３０号楼': 1, '北京市朝阳区呼家楼街道办事处呼家楼南社区居委会朝阳路呼家楼南里30号楼': 1, '北京市朝阳区呼家楼南社区呼家楼南里30号楼': 1}"
1786,1787,北京市朝阳区呼家楼南里3号,4,{'北京市朝阳区呼家楼南里3号': 4}
1787,1788,北京市朝阳区花家地金兴路1号院1号(住宅)楼7单元5层502室,3,"{'北京市朝阳区花家地金兴路1号院1号(住宅)楼7单元5层502室': 3, '北京市海淀区北下关长河湾3-8-301': 1}"
1788,1789,北京市朝阳区南湖东园225楼316室,2,{'北京市朝阳区南湖东园225楼316室': 2}
1789,1790,北京市朝阳区花家地1号楼01层101内05,3,{'北京市朝阳区花家地1号楼01层101内05': 3}
1790,1791,北京市朝阳区花家地1号楼1至2层103(一层部分),3,"{'北京市朝阳区花家地1号楼1至2层103(一层部分)': 3, '北京市朝阳区花家地1号楼1至2层103（一层部分）': 1}"
1791,1792,北京市朝阳区广顺南大街16号院2号楼17层1902,3,{'北京市朝阳区广顺南大街16号院2号楼17层1902': 3}
1792,1793,北京市朝阳区京顺路111号1幢101号内F1-24,3,{'北京市朝阳区京顺路111号1幢101号内F1-24': 3}
1793,1794,北京市朝阳区利泽西园102号楼一层北侧,3,{'北京市朝阳区利泽西园102号楼一层北侧': 3}
1794,1795,北京市朝阳区望京园401号楼31层3606室,3,{'北京市朝阳区望京园401号楼31层3606室': 3}
1795,1796,北京市朝阳区望京花园130号楼中段第一层部分,3,"{'北京市朝阳区望京花园130号楼中段第一层部分': 3, '北京市朝阳区望京花园１３０号楼中段第一层部分': 1}"
1796,1797,北京市朝阳区望京南湖西路望承公园北门220号2号楼一层1号,3,{'北京市朝阳区望京南湖西路望承公园北门220号2号楼一层1号': 3}
1797,1798,北京市朝阳区广顺南大街嘉润花园19号B号楼2303号,4,{'北京市朝阳区广顺南大街嘉润花园19号B号楼2303号': 4}
1798,1799,北京市大兴区采育镇沙窝店村福街8号,3,"{'北京市大兴区采育镇沙窝店村福街8号': 3, '北京市朝阳区望京中环南路9号1号楼2层201室': 1, '北京市大兴区采育镇沙窝村福街8号': 1}"
1799,1800,北京市朝阳区望京利泽中园101号,4,"{'北京市朝阳区望京利泽中园101号': 4, '北京市朝阳区东湖街道办事处果岭里社区居委会望京北路望京新兴产业区': 1, '北京市朝阳区望京北路望京新兴产业区': 1}"
1800,1801,北京市朝阳区望京西园221号16层,3,"{'北京市朝阳区望京西园221号16层': 3, '北京市朝阳区东湖街道办事处望京街丽泽东园308号': 1, '北京市朝阳区望京街新兴产业区7号地': 1}"
1801,1802,北京市朝阳区阜通东大街6号院1号楼13层1608,4,{'北京市朝阳区阜通东大街6号院1号楼13层1608': 4}
1802,1803,北京市朝阳区湖光中街甲6号八层811、812、813室,1,"{'北京市朝阳区湖光中街甲6号八层811、812、813室': 1, '北京市朝阳区湖光中街甲6号8层(08)801内813室': 1}"
1803,1804,北京市朝阳区阜通东大街6号院4号楼一层东北角第三间,3,{'北京市朝阳区阜通东大街6号院4号楼一层东北角第三间': 3}
1804,1805,北京市朝阳区建国路15号院甲1号北岸1292三间房创意生活园区8-2274,2,"{'北京市朝阳区建国路15号院甲1号北岸1292三间房创意生活园区8-2274': 2, '北京市朝阳区广顺南大街16号院2号楼1521室': 1}"
1805,1806,北京市朝阳区望京中环南路甲2号2503,4,{'北京市朝阳区望京中环南路甲2号2503': 4}
1806,1807,北京市朝阳区望京园401号楼5层0616,4,{'北京市朝阳区望京园401号楼5层0616': 4}
1807,1808,北京市朝阳区望京利泽中园二区203号1912,4,{'北京市朝阳区望京利泽中园二区203号1912': 4}
1808,1809,北京市朝阳区南湖东园106号楼1405室,4,{'北京市朝阳区南湖东园106号楼1405室': 4}
1809,1810,北京市朝阳区望京西路48号院1-7号（住宅）楼B901室朝阳区望京西路48号院1-7号（住宅）楼B901室,1,"{'北京市朝阳区望京西路48号院1-7号（住宅）楼B901室朝阳区望京西路48号院1-7号（住宅）楼B901室': 1, '北京市朝阳区望京西路48号院1-7号(住宅)楼B901室': 1}"
1810,1811,北京市朝阳区阜荣街8号院3号楼10层2单元1105,5,{'北京市朝阳区阜荣街8号院3号楼10层2单元1105': 5}
1811,1812,北京市朝阳区金兴路10号楼2单元201号,4,{'北京市朝阳区金兴路10号楼2单元201号': 4}
1812,1813,北京市朝阳区望京园602号楼1层117,3,"{'北京市朝阳区望京园602号楼1层117': 3, '北京朝阳区望京园602号楼1层117': 1}"
1813,1814,北京市朝阳区望京中环南路甲2号佳境天城国际商务公寓B座1902室,4,{'北京市朝阳区望京中环南路甲2号佳境天城国际商务公寓B座1902室': 4}
1814,1815,北京市朝阳区花家地西里209号楼4单元601号,3,{'北京市朝阳区花家地西里209号楼4单元601号': 3}
1815,1816,北京市朝阳区广顺北大街16号院2号楼10层1002、1003、1005、1006,4,{'北京市朝阳区广顺北大街16号院2号楼10层1002、1003、1005、1006': 4}
1816,1817,北京市朝阳区利泽中二路2号望京科技创业园B座5层,3,{'北京市朝阳区利泽中二路2号望京科技创业园B座5层': 3}
1817,1818,北京市朝阳区望京东路8号院2号楼1921,2,{'北京市朝阳区望京东路8号院2号楼1921': 2}
