water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,"是否参与生成(0不参与,1参与)默认1",河流名称,权属,断面名称,考核街乡,水质标准,pH值,现状水质类别,溶解氧（mg/L),现状水质类别,高锰酸盐指数（mg/L),现状水质类别,化学需氧量（mg/L),现状水质类别,五日生化需氧量（mg/L),现状水质类别,氨氮（mg/L),现状水质类别,总磷（mg/L),现状水质类别,铜（mg/L),现状水质类别,锌（mg/L),现状水质类别,氟化物（mg/L),现状水质类别,硒（mg/L),现状水质类别,砷（mg/L),现状水质类别,汞（mg/L),现状水质类别,镉（mg/L),现状水质类别,六价铬（mg/L),现状水质类别,铅（mg/L),现状水质类别,氰化物（mg/L),现状水质类别,挥发酚（mg/L),现状水质类别,石油类（mg/L),现状水质类别,阴离子表面活性剂（mg/L),现状水质类别,硫化物（mg/L),现状水质类别
48,,通惠干渠,市管,京哈高速辅路,王四营,Ⅴ,8.29,Ⅰ,4.1,Ⅳ,6.6,Ⅳ,30,Ⅳ,7.5,Ⅴ,3.190,劣Ⅴ1,0.49,劣Ⅴ1,0.0005,Ⅰ,0.0250,Ⅰ,0.360,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00199,劣Ⅴ4,0.00005,Ⅰ,0.029,Ⅱ,0.0010,Ⅰ,0.0040,Ⅰ,0.00260,Ⅲ,0.44,Ⅳ,0.14,Ⅰ,0.011,Ⅰ
49,,通惠干渠,市管,大鲁店北路,豆各庄、黑庄户,Ⅴ,8.19,Ⅰ,5.5,Ⅲ,3.8,Ⅱ,28,Ⅳ,3.6,Ⅲ,1.680,Ⅴ,0.20,Ⅲ,0.0005,Ⅰ,0.0250,Ⅰ,0.380,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00123,劣Ⅴ4,0.00005,Ⅰ,0.026,Ⅱ,0.0010,Ⅰ,0.0010,Ⅰ,0.00750,Ⅳ,0.17,Ⅳ,0.17,Ⅰ,0.009,Ⅰ
50,,大羊坊沟,区管,东马路西侧无名桥,十八里店,Ⅴ,7.62,Ⅰ,9.2,Ⅰ,6.7,Ⅳ,22,Ⅳ,3.5,Ⅲ,4.710,劣Ⅴ1,0.35,Ⅴ,0.0005,Ⅰ,0.0250,Ⅰ,0.280,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00097,Ⅳ,0.00005,Ⅰ,0.008,Ⅰ,0.0010,Ⅰ,0.0060,Ⅱ,0.00560,Ⅳ,0.05,Ⅰ,0.12,Ⅰ,0.022,Ⅰ
51,0,半壁店沟,区管,暗涵起点,南磨房,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
52,,半壁店沟,区管,铁路桥,王四营,Ⅴ,7.96,Ⅰ,9.4,Ⅰ,4.5,Ⅲ,14,Ⅰ,1.6,Ⅰ,0.247,Ⅱ,0.05,Ⅱ,0.0005,Ⅰ,0.0250,Ⅰ,0.180,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00108,劣Ⅴ4,0.00005,Ⅰ,0.004,Ⅰ,0.0010,Ⅰ,0.0030,Ⅰ,0.00740,Ⅳ,0.07,Ⅳ,0.11,Ⅰ,1.550,劣Ⅴ4
53,,半壁店沟,区管,半壁店村,高碑店,Ⅴ,7.38,Ⅰ,8.4,Ⅰ,4.8,Ⅲ,19,Ⅲ,2.5,Ⅰ,0.794,Ⅲ,0.08,Ⅱ,0.0005,Ⅰ,0.0250,Ⅰ,0.170,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00119,劣Ⅴ4,0.00005,Ⅰ,0.004,Ⅰ,0.0010,Ⅰ,0.0060,Ⅱ,0.00490,Ⅲ,0.04,Ⅰ,0.51,劣Ⅴ2,0.013,Ⅰ
54,,大柳树沟,区管,金蝉西路,南磨房,Ⅴ,8.32,Ⅰ,13.9,Ⅰ,4.4,Ⅲ,24,Ⅳ,2.9,Ⅰ,0.115,Ⅰ,0.05,Ⅱ,0.0005,Ⅰ,0.0250,Ⅰ,0.190,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00123,劣Ⅴ4,0.00005,Ⅰ,0.004,Ⅰ,0.0010,Ⅰ,0.0010,Ⅰ,0.00020,Ⅰ,0.05,Ⅰ,0.03,Ⅰ,0.020,Ⅰ
55,,大柳树沟,区管,孛罗营北闸,王四营,Ⅴ,8.84,Ⅰ,14.8,Ⅰ,12.4,Ⅴ,34,Ⅴ,13.8,劣Ⅴ2,2.100,劣Ⅴ1,0.63,劣Ⅴ2,0.0005,Ⅰ,0.0250,Ⅰ,0.360,Ⅰ,0.00020,Ⅰ,0.00080,Ⅰ,0.00127,劣Ⅴ4,0.00005,Ⅰ,0.012,Ⅱ,0.0010,Ⅰ,0.0040,Ⅰ,0.00020,Ⅰ,0.38,Ⅳ,0.49,劣Ⅴ1,1.230,劣Ⅴ4
56,,大柳树沟,区管,天达路,豆各庄,Ⅴ,8.42,Ⅰ,8.0,Ⅰ,8.6,Ⅳ,41,劣Ⅴ1,8.4,Ⅴ,1.070,Ⅳ,0.21,Ⅳ,0.0005,Ⅰ,0.0250,Ⅰ,0.310,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00141,劣Ⅴ4,0.00005,Ⅰ,0.010,Ⅰ,0.0010,Ⅰ,0.0040,Ⅰ,0.00500,Ⅲ,0.16,Ⅳ,0.04,Ⅰ,0.044,Ⅰ
57,,萧太后河,区管,小武基建材城,十八里店,Ⅴ,8.60,Ⅰ,4.7,Ⅳ,2.8,Ⅱ,15,Ⅰ,2.0,Ⅰ,0.306,Ⅱ,0.10,Ⅱ,0.0005,Ⅰ,0.0250,Ⅰ,0.360,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00016,Ⅳ,0.00005,Ⅰ,0.008,Ⅰ,0.0010,Ⅰ,0.0020,Ⅰ,0.00390,Ⅲ,0.05,Ⅰ,0.04,Ⅰ,0.036,Ⅰ
58,,萧太后河,区管,翠城馨园南区,垡  头,Ⅴ,7.50,Ⅰ,0.1,劣Ⅴ4,6.4,Ⅳ,34,Ⅴ,9.6,Ⅴ,4.710,劣Ⅴ1,0.58,劣Ⅴ2,0.0005,Ⅰ,0.0250,Ⅰ,0.310,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00120,劣Ⅴ4,0.00005,Ⅰ,0.029,Ⅱ,0.0010,Ⅰ,0.0060,Ⅱ,0.01670,Ⅴ,0.16,Ⅳ,0.05,Ⅰ,0.023,Ⅰ
59,,萧太后河,区管,康化路,十八里店,Ⅴ,8.06,Ⅰ,14.1,Ⅰ,3.9,Ⅱ,20,Ⅲ,3.7,Ⅲ,0.653,Ⅲ,0.18,Ⅲ,0.0005,Ⅰ,0.0250,Ⅰ,0.310,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00112,劣Ⅴ4,0.00005,Ⅰ,0.024,Ⅱ,0.0010,Ⅰ,0.0060,Ⅱ,0.00020,Ⅰ,0.08,Ⅳ,0.03,Ⅰ,0.022,Ⅰ
60,,萧太后河,区管,湿地公园桥,豆各庄,Ⅴ,7.97,Ⅰ,9.5,Ⅰ,5.5,Ⅲ,22,Ⅳ,4.0,Ⅲ,0.097,Ⅰ,0.08,Ⅱ,0.0005,Ⅰ,0.0250,Ⅰ,0.380,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00002,Ⅰ,0.00005,Ⅰ,0.026,Ⅱ,0.0010,Ⅰ,0.0020,Ⅰ,0.00440,Ⅲ,0.08,Ⅳ,0.10,Ⅰ,0.041,Ⅰ
61,,萧太后河,区管,通马路,黑庄户,Ⅴ,7.81,Ⅰ,6.7,Ⅱ,4.2,Ⅲ,26,Ⅳ,4.8,Ⅳ,0.126,Ⅰ,0.13,Ⅲ,0.0005,Ⅰ,0.0250,Ⅰ,0.440,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00034,Ⅳ,0.00005,Ⅰ,0.042,Ⅱ,0.0010,Ⅰ,0.0010,Ⅰ,0.00170,Ⅰ,0.37,Ⅳ,0.06,Ⅰ,0.023,Ⅰ
62,,观音堂沟,区管,观音堂桥东侧无名桥,王四营,Ⅴ,8.01,Ⅰ,5.1,Ⅲ,4.5,Ⅲ,21,Ⅳ,1.8,Ⅰ,0.649,Ⅲ,0.13,Ⅲ,0.0005,Ⅰ,0.0250,Ⅰ,0.280,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00031,Ⅳ,0.00005,Ⅰ,0.010,Ⅰ,0.0010,Ⅰ,0.0030,Ⅰ,0.00730,Ⅳ,0.28,Ⅳ,0.26,Ⅳ,0.059,Ⅱ
63,,通惠排干,区管,京哈高速辅路,王四营,Ⅴ,7.65,Ⅰ,5.2,Ⅲ,4.4,Ⅲ,23,Ⅳ,4.0,Ⅲ,1.050,Ⅳ,0.16,Ⅲ,0.0005,Ⅰ,0.0250,Ⅰ,0.300,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00054,Ⅳ,0.00005,Ⅰ,0.018,Ⅱ,0.0010,Ⅰ,0.0040,Ⅰ,0.00850,Ⅳ,0.11,Ⅳ,0.16,Ⅰ,0.010,Ⅰ
64,,通惠排干,区管,大鲁店北路,豆各庄,Ⅴ,8.20,Ⅰ,4.9,Ⅳ,6.9,Ⅳ,36,Ⅴ,6.9,Ⅴ,2.210,劣Ⅴ1,0.26,Ⅳ,0.0005,Ⅰ,0.0250,Ⅰ,0.380,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00056,Ⅳ,0.00005,Ⅰ,0.009,Ⅰ,0.0010,Ⅰ,0.0060,Ⅱ,0.00790,Ⅳ,0.08,Ⅳ,0.08,Ⅰ,0.016,Ⅰ
65,,南大沟,区管,双桥东路,黑庄户,Ⅴ,7.92,Ⅰ,3.2,Ⅳ,12.6,Ⅴ,67,劣Ⅴ3,20.3,劣Ⅴ3,8.050,劣Ⅴ3,1.49,劣Ⅴ3,0.0005,Ⅰ,0.0250,Ⅰ,0.560,Ⅰ,0.00020,Ⅰ,0.00090,Ⅰ,0.00055,Ⅳ,0.00005,Ⅰ,0.050,Ⅱ,0.0010,Ⅰ,0.0010,Ⅰ,0.00210,Ⅲ,0.11,Ⅳ,0.12,Ⅰ,0.310,Ⅳ
66,,东南郊清水干渠,区管,化工路,南磨房,Ⅴ,7.46,Ⅰ,9.8,Ⅰ,2.9,Ⅱ,16,Ⅲ,2.5,Ⅰ,0.126,Ⅰ,0.02,Ⅰ,0.0005,Ⅰ,0.0250,Ⅰ,0.170,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00002,Ⅰ,0.00005,Ⅰ,0.004,Ⅰ,0.0010,Ⅰ,0.0020,Ⅰ,0.00990,Ⅳ,0.02,Ⅰ,0.04,Ⅰ,0.005,Ⅰ
67,,东南郊清水干渠,区管,陶庄路,王四营,Ⅴ,6.67,Ⅰ,0.1,劣Ⅴ4,49.5,劣Ⅴ4,437,劣Ⅴ4,220.0,劣Ⅴ4,40.200,劣Ⅴ4,5.31,劣Ⅴ4,0.0005,Ⅰ,0.0250,Ⅰ,0.330,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00151,劣Ⅴ4,0.00005,Ⅰ,0.197,劣Ⅴ4,0.0010,Ⅰ,0.0050,Ⅰ,0.06980,Ⅴ,23.20,劣Ⅴ4,4.79,劣Ⅴ4,2.210,劣Ⅴ4
68,,东南郊清水干渠,区管,化工路（南）,垡  头,Ⅴ,7.43,Ⅰ,0.0,劣Ⅴ4,38.9,劣Ⅴ3,132,劣Ⅴ4,67.8,劣Ⅴ4,22.200,劣Ⅴ3,2.62,劣Ⅴ3,0.0005,Ⅰ,0.0250,Ⅰ,0.400,Ⅰ,0.00020,Ⅰ,0.00050,Ⅰ,0.00025,Ⅳ,0.00005,Ⅰ,0.067,Ⅴ,0.0010,Ⅰ,0.0010,Ⅰ,0.00170,Ⅰ,2.98,劣Ⅴ2,3.28,劣Ⅴ4,4.610,劣Ⅴ4
69,,东南郊清水干渠,区管,武基路,王四营,Ⅴ,7.52,Ⅰ,0.1,劣Ⅴ4,41.9,劣Ⅴ4,187,劣Ⅴ4,110.0,劣Ⅴ4,41.700,劣Ⅴ4,4.59,劣Ⅴ4,0.0005,Ⅰ,0.0250,Ⅰ,0.440,Ⅰ,0.00020,Ⅰ,0.00090,Ⅰ,0.00156,劣Ⅴ4,0.00005,Ⅰ,0.155,劣Ⅴ4,0.0010,Ⅰ,0.0020,Ⅰ,0.05030,Ⅴ,2.05,劣Ⅴ2,3.22,劣Ⅴ4,0.859,Ⅴ
70,,东南郊清水干渠,区管,小武基西直河村交汇处,十八里店,Ⅴ,7.81,Ⅰ,0.4,劣Ⅴ4,37.8,劣Ⅴ3,134,劣Ⅴ4,74.3,劣Ⅴ4,38.100,劣Ⅴ4,4.22,劣Ⅴ4,0.0005,Ⅰ,0.0250,Ⅰ,0.400,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00010,Ⅲ,0.00005,Ⅰ,0.036,Ⅱ,0.0010,Ⅰ,0.0010,Ⅰ,0.01630,Ⅴ,1.88,劣Ⅴ2,1.86,劣Ⅴ3,4.560,劣Ⅴ4
71,0,大稿沟,区管,双桥西路,豆各庄,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
72,,大稿沟,区管,怡乐南街西侧桥,黑庄户,Ⅴ,8.05,Ⅰ,2.8,Ⅴ,6.0,Ⅲ,28,Ⅳ,9.9,Ⅴ,6.090,劣Ⅴ2,0.77,劣Ⅴ2,0.0005,Ⅰ,0.0250,Ⅰ,0.280,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00046,Ⅳ,0.00005,Ⅰ,0.019,Ⅱ,0.0010,Ⅰ,0.0020,Ⅰ,0.00330,Ⅲ,0.40,Ⅳ,0.57,劣Ⅴ2,3.220,劣Ⅴ4
73,0,横街子排水沟,区管,牌坊闸,小红门,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
74,0,横街子排水沟,区管,滨河路西侧桥,十八里店,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
75,,通惠河,市管,庆丰闸,双  井,Ⅳ,8.66,Ⅰ,9.2,Ⅰ,5.9,Ⅲ,24,Ⅳ,1.8,Ⅰ,0.028,Ⅰ,0.09,Ⅱ,0.0023,Ⅰ,0.0025,Ⅰ,0.266,Ⅰ,0.00020,Ⅰ,0.00072,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0006,Ⅰ,0.0020,Ⅰ,0.00200,Ⅰ,0.08,Ⅳ,0.03,Ⅰ,0.003,Ⅰ
76,,通惠河,市管,西大望路,建 外 、南磨房,Ⅳ,8.69,Ⅰ,9.2,Ⅰ,6.2,Ⅳ,22,Ⅳ,2.0,Ⅰ,0.095,Ⅰ,0.07,Ⅱ,0.0024,Ⅰ,0.0079,Ⅰ,0.235,Ⅰ,0.00020,Ⅰ,0.00074,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0003,Ⅰ,0.0020,Ⅰ,0.00200,Ⅰ,0.12,Ⅳ,0.03,Ⅰ,0.003,Ⅰ
77,,通惠河,市管,北花园中路,高碑店,Ⅴ,7.80,Ⅰ,8.8,Ⅰ,5.8,Ⅲ,26,Ⅳ,2.2,Ⅰ,0.580,Ⅲ,0.11,Ⅲ,0.0013,Ⅰ,0.0057,Ⅰ,0.253,Ⅰ,0.00063,Ⅰ,0.00074,Ⅰ,0.00014,Ⅳ,0.00003,Ⅰ,0.002,Ⅰ,0.0004,Ⅰ,0.0040,Ⅰ,0.00270,Ⅲ,0.05,Ⅰ,0.09,Ⅰ,0.020,Ⅰ
78,,通惠河,市管,双桥路,三间房,Ⅴ,7.87,Ⅰ,8.7,Ⅰ,5.5,Ⅲ,24,Ⅳ,1.3,Ⅰ,0.512,Ⅲ,0.05,Ⅱ,0.0010,Ⅰ,0.0043,Ⅰ,0.201,Ⅰ,0.00068,Ⅰ,0.00105,Ⅰ,0.00005,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0004,Ⅰ,0.0050,Ⅰ,0.00180,Ⅰ,0.03,Ⅰ,0.03,Ⅰ,0.006,Ⅰ
79,,通惠河,市管,新八里桥,管  庄,Ⅴ,7.88,Ⅰ,8.5,Ⅰ,5.6,Ⅲ,26,Ⅳ,1.2,Ⅰ,0.473,Ⅱ,0.07,Ⅱ,0.0008,Ⅰ,0.0068,Ⅰ,0.149,Ⅰ,0.00058,Ⅰ,0.00049,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.005,Ⅰ,0.0002,Ⅰ,0.0020,Ⅰ,0.00080,Ⅰ,0.04,Ⅰ,0.03,Ⅰ,0.009,Ⅰ
80,0,二道沟,市管,金台路,团结湖、呼家楼,Ⅳ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
81,,二道沟,市管,铁路东侧桥,六里屯、八里庄,Ⅳ,8.22,Ⅰ,8.6,Ⅰ,5.2,Ⅲ,14,Ⅰ,1.0,Ⅰ,1.820,Ⅴ,0.28,Ⅳ,0.0009,Ⅰ,0.0047,Ⅰ,0.296,Ⅰ,0.00235,Ⅰ,0.00108,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.005,Ⅰ,0.0005,Ⅰ,0.0060,Ⅱ,0.00150,Ⅰ,0.05,Ⅰ,0.08,Ⅰ,0.003,Ⅰ
82,,二道沟,市管,朝阳路,平  房,Ⅳ,7.93,Ⅰ,8.4,Ⅰ,4.2,Ⅲ,20,Ⅲ,1.8,Ⅰ,1.360,Ⅳ,0.22,Ⅳ,0.0008,Ⅰ,0.0075,Ⅰ,0.334,Ⅰ,0.00251,Ⅰ,0.00080,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0005,Ⅰ,0.0050,Ⅰ,0.00050,Ⅰ,0.04,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
83,,二道沟,市管,入通惠河口,高碑店,Ⅳ,7.77,Ⅰ,8.8,Ⅰ,5.8,Ⅲ,25,Ⅳ,1.0,Ⅰ,0.538,Ⅲ,0.07,Ⅱ,0.0017,Ⅰ,0.0109,Ⅰ,0.216,Ⅰ,0.00020,Ⅰ,0.00142,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0004,Ⅰ,0.0020,Ⅰ,0.00070,Ⅰ,0.03,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
84,0,青年路沟,区管,白家楼,平  房,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
85,0,青年路沟,区管,入通惠河口,三间房,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
86,0,小场沟,区管,建材市场,平  房,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
87,0,小场沟,区管,管庄路,东  坝 、常  营,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
88,0,小场沟,区管,东高路,金  盏,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
89,0,小场沟,区管,金榆路,常  营,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
90,0,常营中心沟,区管,东高路,常  营,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
91,,大华窑排水沟,区管,将台洼村,东  风,Ⅴ,7.54,Ⅰ,8.4,Ⅰ,7.0,Ⅳ,25,Ⅳ,1.7,Ⅰ,2.600,劣Ⅴ1,0.24,Ⅳ,0.0003,Ⅰ,0.0079,Ⅰ,0.507,Ⅰ,0.00020,Ⅰ,0.00142,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0005,Ⅰ,0.0020,Ⅰ,0.00150,Ⅰ,0.13,Ⅳ,0.27,Ⅳ,0.003,Ⅰ
92,0,大华窑排水沟,区管,七棵树村,东  坝,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
93,,驹子房排水沟,区管,星火东路,东  风,Ⅴ,7.96,Ⅰ,7.8,Ⅰ,8.4,Ⅳ,34,Ⅴ,6.6,Ⅴ,5.340,劣Ⅴ2,0.39,Ⅴ,0.0012,Ⅰ,0.0080,Ⅰ,0.595,Ⅰ,0.00046,Ⅰ,0.00271,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.004,Ⅰ,0.0003,Ⅰ,0.0020,Ⅰ,0.00260,Ⅲ,0.10,Ⅳ,0.41,劣Ⅴ1,0.005,Ⅰ
94,0,驹子房排水沟,区管,平房村,平  房,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
95,0,驹子房排水沟,区管,豆各庄村,东  坝,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
